"id","age","momheight","height"
1,6,1,111
2,6,1,110
3,6,1,113.7
4,6,1,114
5,6,1,114.5
6,6,1,112
7,6,2,116
8,6,2,117.6
9,6,2,121
10,6,2,114.5
11,6,2,117.4
12,6,2,113.7
13,6,2,113.6
14,6,3,120.4
15,6,3,120.2
16,6,3,118.9
17,6,3,120.7
18,6,3,121
19,6,3,115.9
20,6,3,125.1
1,7,1,116.4
2,7,1,115.8
3,7,1,119.7
4,7,1,118.9
5,7,1,122
6,7,1,117.3
7,7,2,122
8,7,2,123.2
9,7,2,127.3
10,7,2,119
11,7,2,123.2
12,7,2,119.7
13,7,2,119.1
14,7,3,125
15,7,3,128.5
16,7,3,125.6
17,7,3,126.7
18,7,3,128.1
19,7,3,121.3
20,7,3,131.8
1,8,1,121.7
2,8,1,121.5
3,8,1,125.3
4,8,1,124.6
5,8,1,126.4
6,8,1,124.4
7,8,2,126.6
8,8,2,129.3
9,8,2,134.5
10,8,2,124
11,8,2,129.5
12,8,2,125.3
13,8,2,124.8
14,8,3,132
15,8,3,134.6
16,8,3,132.1
17,8,3,133.8
18,8,3,134.3
19,8,3,127.4
20,8,3,141.3
1,9,1,126.3
2,9,1,126.6
3,9,1,130.1
4,9,1,129.1
5,9,1,131.2
6,9,1,129.2
7,9,2,132.6
8,9,2,134.5
9,9,2,139.9
10,9,2,130
11,9,2,134.5
12,9,2,130.1
13,9,2,130.8
14,9,3,136.6
15,9,3,141
16,9,3,139.1
17,9,3,140.7
18,9,3,140.3
19,9,3,135.1
20,9,3,146.8
1,10,1,130.5
2,10,1,131.4
3,10,1,136
4,10,1,134
5,10,1,135
6,10,1,135.2
7,10,2,137.6
8,10,2,138.9
9,10,2,145.4
10,10,2,135.1
11,10,2,140
12,10,2,135.9
13,10,2,136.3
14,10,3,140.7
15,10,3,146.5
16,10,3,144
17,10,3,146
18,10,3,144
19,10,3,141.1
20,10,3,152.3
